dataset,metric,posicao,basis,mean,std,n_folds_paired,friedman_statistic,friedman_p,friedman_significant,kendalls_w
letter,f1,6,laplacian,0.9492136394405074,0.005623467078244815,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,7,softmax_radial,0.9492136394405074,0.005623467078244815,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,8,shepard,0.9489324539721633,0.006311703985657029,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,9,quartic_spline,0.9488732136238216,0.006524646121550966,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,10,cubic_spline,0.9486957323913927,0.006600170435139017,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,11,wendland_c2,0.9485760385728608,0.006828696495845479,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,12,lorentzian,0.9475902668455147,0.006747575947962751,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,13,rational_quadratic,0.9470272983799699,0.005369709621473176,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,14,cauchy,0.9468947852053342,0.006966177402060499,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,15,student_t,0.9458004112110261,0.0069893809072446005,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,16,inverse_multiquadratic,0.945589638989998,0.0071664757891182086,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,17,cosine,0.9455649373230217,0.007346234090517382,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,18,logarithmic,0.9455356012167992,0.007104956724137622,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,19,attention,0.9439337889166391,0.006943227530107346,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,20,harmonic,0.9425628691776182,0.006729690860203591,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
letter,f1,21,multiquadratic,0.9304051071226278,0.0067197871927124125,30,252.17181697756732,4.165850019995997e-42,True,0.42028636162927885
magic_telescope,f1,1,gen_exponential,0.74205793547915,0.018063399944721694,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,2,shepard,0.7419259337403391,0.016380819681668376,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,3,rbf_gaussian,0.741557573115399,0.01436090858535606,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,4,rational_quadratic,0.7412643346700487,0.017329539953618054,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,5,cosine,0.7411986093743052,0.014345000409262761,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,6,radial,0.7408709616940867,0.01645748335863762,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,7,quartic_spline,0.7407836693701569,0.013419068261849076,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,8,inverse_multiquadratic,0.7403168648576759,0.012239296613258527,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,9,student_t,0.7403168648576759,0.012239296613258527,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,10,cubic_spline,0.7400636905278226,0.017529984991673058,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,11,entropic,0.740055635558418,0.016229582204211647,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,12,logarithmic,0.7399241592546636,0.012255933141983,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,13,laplacian,0.7395776269479293,0.012437792124193279,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,14,softmax_radial,0.7395776269479293,0.012437792124193279,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,15,wendland_c2,0.7391246083360455,0.017075725356256493,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,16,cauchy,0.7390011393670449,0.015299183761641322,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,17,attention,0.7386958727396945,0.014954587623992493,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,18,lorentzian,0.7385638979646997,0.013941012730942169,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,19,sigmoidal,0.738555434370945,0.014931853285913585,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,20,harmonic,0.7385532372966729,0.01521384331517898,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
magic_telescope,f1,21,multiquadratic,0.7330668333294099,0.013123537143074522,30,62.638496018103496,2.7600715616531964e-06,True,0.10439749336350583
page_blocks,f1,1,laplacian,0.6971296405782552,0.056703428103908805,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,2,softmax_radial,0.6971296405782552,0.056703428103908805,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,3,gen_exponential,0.6968417190537004,0.05934174053008242,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,4,rational_quadratic,0.6915853717378198,0.06608581113287264,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,5,shepard,0.6835906830578666,0.0690750003259023,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,6,radial,0.6775400708458961,0.06948084668909349,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,7,cauchy,0.67342782789561,0.06857916743078249,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,8,rbf_gaussian,0.6705424909641099,0.07530798751492608,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,9,entropic,0.6578326192985278,0.07986764005751017,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,10,sigmoidal,0.6547104793276257,0.0679047063092402,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,11,lorentzian,0.652556192208446,0.07924514711392022,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,12,inverse_multiquadratic,0.6496862690591217,0.07685129000730816,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,13,student_t,0.6496862690591217,0.07685129000730816,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,14,attention,0.64462911820129,0.07813676742538006,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,15,logarithmic,0.6361951622032159,0.08665604773146666,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,16,harmonic,0.6348449724669828,0.08241194688698868,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,17,cubic_spline,0.632035486760584,0.07103085060703092,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,18,quartic_spline,0.6310590472186937,0.07004977735812955,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,19,wendland_c2,0.6291692385717123,0.07091768091310316,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,20,cosine,0.6215867445271136,0.07376595076367527,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
page_blocks,f1,21,multiquadratic,0.6201400465956536,0.08012345501964664,30,193.72178688634375,1.9556030103126183e-30,True,0.3228696448105729
seeds,f1,1,attention,0.5285050280148319,0.04486202866797523,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
seeds,f1,2,lorentzian,0.5285050280148319,0.04486202866797523,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
seeds,f1,3,rational_quadratic,0.5285050280148319,0.04486202866797523,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
seeds,f1,4,gen_exponential,0.5250845287609993,0.04529414551561672,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
seeds,f1,5,harmonic,0.5250845287609993,0.04529414551561672,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
seeds,f1,6,sigmoidal,0.5250845287609993,0.04529414551561672,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
seeds,f1,7,entropic,0.49646268763915813,0.06249403684545652,30,92.8457446808508,2.347505333847584e-11,True,0.154742907801418
